event_date,primary,dependent,event_type,beta,r2,revenue_pct,expected_a,expected_b,actual_return,score_a,score_b,direction,is_liquid,is_htb,skipped,skip_reason,score_h1,score_h2,score_h3,score_h4,score_h7,score_h14,score_h21,score_h35,score_h49,score_h70
2021-07-27,RTX,MTX,Earnings,0.5376934386843516,0.12395578783269234,0.2475,0.018179839072506074,0.004499510170445253,4.388419547123523e-05,0.9975861064943308,0.9902468949265887,long,True,False,False,,1.5589279445914948,0.9902468949265887,2.768635444779528,3.112633120415265,3.241345150796988,3.9021344721268267,2.21125404518961,1.1217098010982696,0.41714338466161527,-0.4786483854309068
2021-07-27,RTX,MRCY,Earnings,0.688251692773918,0.0710987864613224,0.19,0.02327033234146449,0.004421363144878253,-0.010844366907336207,1.4660168470397417,3.452720247577587,long,True,False,False,,2.8164025813827407,3.452720247577587,3.8696904302761164,4.01276609528957,4.305259649986311,5.245394844502249,5.968345643702692,4.997501798324841,33.89191538765685,37.65920842067172
2021-07-29,NOC,FEIM,Earnings,1.0,0.0,0.3959,0.0,0.0,,0.0,0.0,long,False,True,True,zero volume bars,,,,,,,,,,
2021-07-29,NOC,SYPR,Earnings,-0.2952075780182647,0.002484224653695022,0.23,0.0,0.0,0.0093229381719819,-3.524069050596476,0.0,long,False,True,True,below threshold,,,,,,,,,,
2021-07-29,NOC,MRCY,Earnings,0.007225393839717391,1.7588643235866286e-05,0.12,0.0,0.0,-0.0007005582913337909,0.0,0.0,long,False,False,True,below threshold,,,,,,,,,,
2021-07-29,NOC,CVU,Earnings,0.012288668945455272,7.395904396223507e-05,0.08,0.0,0.0,-0.023051061678463027,0.0,0.0,long,False,True,True,below threshold,,,,,,,,,,
2021-10-26,LMT,AIRI,Earnings,-2.5655111208934813,0.5433970823043619,0.302,0.2506850379490723,0.07570688146061984,0.016300792337985922,0.9349750089939651,0.7846854602449178,short,True,True,False,,0.7215258386894933,0.7846854602449178,0.7348256351002348,0.6191286759335997,0.47881665951978497,0.33585327839027607,-0.34479444505552004,-0.3506684647155706,-0.3421151000326094,0.16596361744135787
2021-10-26,LMT,CVU,Earnings,-1.766037539841443,0.1873618142074035,0.24,0.1725656864587881,0.04141576475010914,-0.015189876740755497,1.0880237378152413,1.366765574230172,short,True,True,False,,0.9800785549990656,1.366765574230172,0.6773782350113688,0.5276806494323714,0.5298689899817146,-0.057753269530722275,-0.0867902848199632,-0.18078328441528027,-0.4098648099222511,0.52057231564795
2021-10-26,LMT,EMKR,Earnings,-0.9033596525330161,0.06320341982897948,0.2391,0.08827042180118555,0.021105457852663465,0.012714773719760767,0.8559565768429352,0.39755991987844086,short,True,True,False,,0.320622395720974,0.39755991987844086,0.41609521169084257,0.5471101647164276,0.8438251807499902,-0.3307426665038031,-1.7112173897490253,-2.512696865490918,-7.048071894352307,-8.614154195194763
2021-10-26,LMT,SIF,Earnings,-1.0461584176052177,0.009194643772694078,0.1108,0.10222378709735251,0.011326395610386657,0.047102005153469254,0.5392265685812265,-3.158604976703731,long,False,True,False,,-4.292851763133733,-3.158604976703731,-2.054296711094712,-1.9626549192045442,-0.03755894558880772,-0.12222372332247111,1.8400312959554186,-0.6853698760628177,2.0607619487883237,4.600805988277094
